Reported Date,Total Dead and Missing,Location Coordinates
"August 22, 2019",1,"32.057701900000, -112.143021500000"
"August 21, 2019",2,"26.982052175409, -98.096525608378"
"August 20, 2019",2,"28.710228241930, -100.509740470240"
"August 20, 2019",1,"28.513027700000, -100.455079600000"
"August 20, 2019",1,"27.049847012246, -98.168535616548"
"August 19, 2019",1,"28.532276939605, -100.402250811240"
"August 19, 2019",5,"38.550109000000, 34.508887000000"
"August 18, 2019",10,"13.388819900000, 102.117540400000"
"August 18, 2019",1,"51.355731038751, 3.116213492969"
"August 17, 2019",2,"33.140843540490, 12.570127875000"
"August 17, 2019",1,"32.127686900000, -112.121001600000"
"August 15, 2019",1,"31.395761300000, -110.187910600000"
"August 14, 2019",1,"32.057701900000, -112.143021500000"
"August 13, 2019",1,"28.679713428365, -100.507124727940"
"August 13, 2019",14,"35.084140361617, 15.850744875000"
"August 13, 2019",1,"26.800871463193, -98.101282160961"
"August 12, 2019",1,"14.854359535137, -90.090189456836"
"August 12, 2019",1,"32.110862200000, -111.664848600000"
"August 12, 2019",1,"32.124401300000, -111.722357500000"
"August 11, 2019",3,"32.684859100000, -117.044583700000"
"August 10, 2019",1,"26.257108089834, -98.636932432800"
"August 10, 2019",1,"17.978116665155, -94.268896486816"
"August 09, 2019",1,"27.198533249885, -97.812651847266"
"August 09, 2019",1,"50.985813319746, 1.263302548438"
"August 09, 2019",1,"32.650950500000, 14.267898900000"
"August 09, 2019",1,"31.591246000000, -111.089136500000"
"August 09, 2019",1,"31.911973400000, -111.882153100000"
"August 08, 2019",1,"4.420165536445, -75.382909934570"
"August 08, 2019",1,"26.270817082003, -98.593158756836"
"August 06, 2019",1,"28.749602003299, -100.453633473300"
"August 06, 2019",1,"25.879783779872, -97.494390565546"
"August 06, 2019",2,"18.128807800000, 99.345111800000"
"August 05, 2019",2,"34.269472676972, 12.705224426730"
"August 05, 2019",1,"36.056638025335, 36.379893894294"
"August 05, 2019",1,"32.481200700000, -111.667840700000"
"August 03, 2019",1,"25.556799823202, -100.947820623090"
"August 03, 2019",1,"18.093831289622, -94.570061605679"
"August 03, 2019",1,"28.624902866605, -100.158129172730"
"August 03, 2019",1,"26.166204168380, -98.335677746760"
"August 02, 2019",1,"27.479457459751, -99.479084887306"
"August 02, 2019",1,"14.905556700000, -92.263413600000"
"August 02, 2019",1,"26.137927499760, -98.335083318429"
"August 02, 2019",1,"26.143086411111, -98.328974527383"
"August 02, 2019",1,"28.908961809038, -100.600107187710"
"August 02, 2019",1,"35.244430799903, -3.171523489268"
"August 02, 2019",1,"35.892832797356, -5.281629242047"
"August 01, 2019",1,"32.348230000000, -108.745486700000"
"August 01, 2019",1,"27.476619774726, -99.481808951156"
"July 31, 2019",1,"25.406105756861, -101.023817863880"
"July 31, 2019",1,"28.788046840156, -100.399340051310"
"July 31, 2019",1,"45.188659376355, 15.792659899916"
"July 31, 2019",1,"44.819532705347, 15.886675625029"
"July 31, 2019",1,"18.122947113580, -94.428417813531"
"July 31, 2019",2,"27.081117540308, -98.200171188456"
"July 30, 2019",15,"12.666870541656, 44.740286808419"
"July 29, 2019",1,"31.710822977115, -106.368404026530"
"July 29, 2019",1,"29.243763633996, -100.795425353080"
"July 29, 2019",1,"27.009070649842, -98.076525118501"
"July 28, 2019",1,"40.840002243105, 26.215655703007"
"July 28, 2019",1,"27.471696385531, -99.483042038298"
"July 28, 2019",1,"27.276826238812, -98.061468795878"
"July 27, 2019",1,"32.403532528465, -113.705843930820"
"July 27, 2019",4,"32.757037478041, -115.566391980990"
"July 25, 2019",150,"32.834432719848, 14.624344026235"
"July 25, 2019",1,"26.054200041735, -98.141739029125"
"July 24, 2019",1,"35.303407863438, -3.925795900205"
"July 24, 2019",1,"32.057701900000, -112.143021500000"
"July 23, 2019",1,"35.872671290563, -5.340692227750"
"July 23, 2019",1,"36.943265558429, 27.403303047554"
"July 23, 2019",1,"26.929552244014, -98.242094456034"
"July 22, 2019",2,"31.994554632983, -112.006083362580"
"July 22, 2019",1,"35.870741242641, -5.341660207254"
"July 22, 2019",1,"32.373978500000, -111.457253300000"
"July 22, 2019",1,"32.331803200000, -112.524509300000"
"July 22, 2019",1,"32.129207900000, -111.146947700000"
"July 22, 2019",1,"32.129207900000, -111.146947700000"
"July 21, 2019",1,"28.715580848881, -100.394364241040"
"July 20, 2019",1,"31.738054300000, -106.456257900000"
"July 20, 2019",1,"40.640062900000, 22.944419100000"
"July 20, 2019",1,"28.661188000000, -100.540686400000"
"July 20, 2019",1,"32.756800460358, -115.643388924410"
"July 20, 2019",1,"33.179906060642, -112.241578803910"
"July 20, 2019",1,"32.573573200000, -111.917944700000"
"July 19, 2019",1,"31.730067100000, -106.483289300000"
"July 19, 2019",1,"17.258728416225, -91.012688908886"
"July 19, 2019",1,"31.535548300000, -111.386271500000"
"July 18, 2019",16,"38.749640000000, 43.613323000000"
"July 18, 2019",1,"7.378230000000, -72.650336900000"
"July 18, 2019",1,"25.981681000000, -98.079684600000"
"July 18, 2019",1,"27.137592559984, -98.230383590799"
"July 17, 2019",1,"26.095338100000, 61.846223500000"
"July 17, 2019",1,"26.985855502773, -98.197718050630"
"July 16, 2019",1,"28.705314967217, -100.511613685030"
"July 16, 2019",2,"29.447929724258, -101.059931246190"
"July 16, 2019",1,"36.196379448452, -2.452770359719"
"July 15, 2019",1,"26.975792985096, -98.187075045258"
"July 15, 2019",1,"32.057701900000, -112.143021500000"
"July 15, 2019",1,"31.797256200000, -111.813408800000"
"July 14, 2019",1,"25.900962109470, -97.525633099634"
"July 14, 2019",1,"27.208588228963, -98.238623336893"
"July 13, 2019",1,"32.057701900000, -112.143021500000"
"July 12, 2019",1,"26.136829136280, -98.337529265875"
"July 12, 2019",1,"32.331803200000, -112.524509300000"
"July 12, 2019",1,"32.057701900000, -112.143021500000"
"July 11, 2019",1,"18.023219672270, -94.641773520189"
"July 11, 2019",1,"27.067851841443, -98.073091890962"
"July 09, 2019",1,"28.700944700000, -100.514561000000"
"July 08, 2019",1,"32.705302900000, -114.728829800000"
"July 08, 2019",8,"19.559433200000, -70.869348600000"
"July 08, 2019",1,"-5.227319800000, -80.655000100000"
"July 07, 2019",1,"27.253449766985, -98.254332890286"
"July 07, 2019",1,"32.057701900000, -112.143021500000"
"July 06, 2019",1,"51.708842167962, 4.396572521430"
"July 06, 2019",1,"18.769659288645, -95.744834624192"
"July 06, 2019",1,"18.877658400000, -98.773932400000"
"July 06, 2019",1,"51.051900837879, 2.399199796303"
"July 06, 2019",1,"32.057499000000, -111.666072500000"
"July 05, 2019",1,"32.242930100000, -110.946201300000"
"July 05, 2019",1,"29.207827735338, -98.507496358502"
"July 04, 2019",1,"31.773019723835, -106.701209668170"
"July 04, 2019",1,"31.762964918642, -106.446077661120"
"July 03, 2019",83,"33.618682016579, 11.439711900000"
"July 03, 2019",1,"27.025097300000, -98.138399500000"
"July 03, 2019",1,"32.004629000000, -113.225121800000"
"July 03, 2019",1,"32.057499000000, -111.666072500000"
"July 02, 2019",1,"16.751600900000, -93.102993900000"
"July 02, 2019",2,"20.933613114219, 0.820411788365"
"July 01, 2019",1,"-12.778757000000, 45.295226600000"
"July 01, 2019",1,"29.769623100000, -101.252379200000"
"July 01, 2019",1,"31.771801900000, -111.924265100000"
"June 30, 2019",1,"26.186448000000, -98.220718500000"
"June 30, 2019",1,"31.333228800000, -110.938007900000"
"June 30, 2019",1,"51.463784260180, -0.157933543286"
"June 29, 2019",1,"35.115866500000, -2.722248700000"
"June 29, 2019",1,"32.331803200000, -112.524509300000"
"June 29, 2019",1,"27.025097300000, -98.138399500000"
"June 27, 2019",6,"29.347903181550, -10.202559942704"
"June 27, 2019",1,"32.705688066120, -114.729089065810"
"June 26, 2019",1,"31.567686900000, -106.243756300000"
"June 26, 2019",1,"20.389942900000, -99.696202800000"
"June 26, 2019",1,"17.571557300000, -92.832141200000"
"June 26, 2019",10,"41.657821000000, 26.504193500000"
"June 25, 2019",1,"28.714321973443, -100.507155908750"
"June 25, 2019",1,"32.057499000000, -111.666072500000"
"June 25, 2019",1,"27.025097300000, -98.138399500000"
"June 24, 2019",1,"31.349864500000, -106.490093000000"
"June 24, 2019",2,"25.898236864813, -97.499201411927"
"June 23, 2019",4,"26.138404700000, -98.328768700000"
"June 23, 2019",25,"24.297942676106, -16.283859754520"
"June 22, 2019",1,"27.479038000000, -99.479266900000"
"June 21, 2019",1,"28.711068100000, -100.513559000000"
"June 21, 2019",1,"29.301948600000, -100.424271900000"
"June 21, 2019",1,"41.421913300000, 22.254896900000"
"June 20, 2019",1,"27.823775400000, -99.974517400000"
"June 20, 2019",1,"28.522501600000, -99.839891300000"
"June 20, 2019",1,"28.908531900000, -100.633761400000"
"June 20, 2019",1,"41.329800000000, 26.645200000000"
"June 19, 2019",22,"35.856487686736, -3.086911218126"
"June 19, 2019",1,"32.757494400000, -115.982532000000"
"June 19, 2019",1,"28.479950800000, -99.864724700000"
"June 17, 2019",12,"36.961190531455, 27.400403872975"
"June 17, 2019",1,"45.445807569624, 15.129590885306"
"June 16, 2019",1,"25.964513650073, -100.280354833450"
"June 15, 2019",1,"28.711767096835, -100.508585084100"
"June 15, 2019",1,"32.057499000000, -111.666072500000"
"June 14, 2019",1,"18.054193729713, -94.135662914059"
"June 14, 2019",1,"32.001238000000, -111.945235500000"
"June 13, 2019",1,"31.850965100000, -112.002645600000"
"June 12, 2019",2,"31.674166602670, -106.337425829110"
"June 12, 2019",7,"36.141836728757, -3.461884254273"
"June 12, 2019",1,"31.915388342452, -112.925537843590"
"June 12, 2019",1,"44.905913352022, 15.956558922158"
"June 12, 2019",1,"45.428570424356, 15.227211399631"
"June 11, 2019",1,"15.019419000000, -92.380846500000"
"June 11, 2019",7,"39.123278724880, 26.616327698621"
"June 10, 2019",3,"31.675628311792, -106.333742785180"
"June 10, 2019",1,"31.870028153990, -106.611635129640"
"June 10, 2019",1,"35.898974661168, -5.768592626737"
"June 10, 2019",1,"32.443831900000, -111.795219200000"
"June 09, 2019",1,"35.138187621749, -2.970536364294"
"June 09, 2019",1,"36.307409824707, 0.578667130967"
"June 09, 2019",32,"11.772904481353, -68.683061164736"
"June 08, 2019",1,"31.622061900000, -106.276080000000"
"June 07, 2019",1,"28.521344741450, -99.975967145312"
"June 07, 2019",2,"28.706046434039, -100.511775809540"
"June 07, 2019",3,"36.049699220264, 0.071778692404"
"June 07, 2019",1,"31.978130900000, -112.265964000000"
"June 06, 2019",1,"35.885838717654, 0.008840051280"
"June 05, 2019",6,"27.779169200000, -97.664032000000"
"June 05, 2019",1,"28.461656364922, -99.915542340625"
"June 04, 2019",1,"27.205285500000, -98.144746300000"
"June 04, 2019",1,"27.372516048768, -99.504941041992"
"June 04, 2019",1,"31.818892800000, -111.544109600000"
"June 03, 2019",1,"28.709143300000, -100.499521400000"
"June 03, 2019",1,"32.727036699948, -114.757467600980"
"June 03, 2019",1,"32.057701900000, -112.143021500000"
"June 03, 2019",1,"32.331803200000, -112.524509300000"
"June 03, 2019",1,"32.057499000000, -111.666072500000"
"June 02, 2019",22,"33.374467702070, 13.828666325454"
"June 02, 2019",1,"26.408852300000, -99.015655400000"
"June 02, 2019",8,"18.821146904764, -68.185477750000"
"June 02, 2019",1,"35.687246560964, -5.232161017927"
"June 01, 2019",1,"27.115536289687, -98.089773822813"
"June 01, 2019",1,"31.700991800000, -111.880972400000"
"May 31, 2019",1,"27.499954647757, -99.502177618843"
"May 30, 2019",1,"31.792982500000, -106.519869700000"
"May 30, 2019",1,"31.972808100000, -111.298472400000"
"May 29, 2019",2,"35.868743207134, -5.939018317814"
"May 29, 2019",1,"31.792900428498, -106.519687309790"
"May 29, 2019",1,"32.057499000000, -111.666072500000"
"May 28, 2019",1,"32.019116400000, -112.284176700000"
"May 26, 2019",1,"26.369909305525, -98.938498098776"
"May 25, 2019",1,"19.432607700000, -99.133208000000"
"May 25, 2019",3,"16.963380000000, 7.977338200000"
"May 24, 2019",1,"27.870433742501, -101.087204211080"
"May 24, 2019",1,"32.057701900000, -112.143021500000"
"May 24, 2019",1,"32.057701900000, -112.143021500000"
"May 23, 2019",1,"28.699966872573, -100.510720789270"
"May 23, 2019",5,"32.992742012613, 12.535119753163"
"May 23, 2019",3,"26.240047494041, -98.566016329980"
"May 23, 2019",1,"35.781157024461, -5.770811858771"
"May 22, 2019",3,"35.277774464764, -6.317684485937"
"May 21, 2019",3,"45.241936600000, 19.715950200000"
"May 21, 2019",1,"35.893057403700, -5.885681622862"
"May 21, 2019",1,"32.263884000000, -111.324478000000"
"May 21, 2019",1,"35.716289966858, -5.841888902909"
"May 20, 2019",1,"16.376172491878, -94.206270583941"
"May 20, 2019",1,"50.932952900000, 2.001427300000"
"May 20, 2019",1,"27.070487529091, -98.078634912618"
"May 19, 2019",1,"31.783890467940, -107.209294206590"
"May 19, 2019",3,"-12.789682767218, 45.251663570117"
"May 19, 2019",1,"32.057499000000, -111.666072500000"
"May 16, 2019",5,"38.658925649218, 43.307213902842"
"May 16, 2019",3,"27.624075902336, -15.758543962674"
"May 16, 2019",1,"45.015152344951, -73.363652062942"
"May 16, 2019",29,"10.482858899944, -61.985163620023"
"May 15, 2019",22,"38.701231409345, 44.242474772221"
"May 15, 2019",1,"32.331803200000, -112.524509300000"
"May 14, 2019",1,"19.408660000000, -98.118324500000"
"May 14, 2019",1,"31.761877800000, -106.485021700000"
"May 13, 2019",1,"25.805945517274, -101.007119514900"
"May 13, 2019",5,"34.375232060284, 35.469930089916"
"May 13, 2019",1,"17.978890812244, -92.821729096217"
"May 13, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"32.057499000000, -111.666072500000"
"May 12, 2019",1,"41.327261927730, 26.509923237185"
"May 12, 2019",3,"0.462081800000, -77.942670600000"
"May 11, 2019",1,"17.731071870208, -95.131446727717"
"May 10, 2019",59,"34.643922078001, 11.321992814062"
"May 10, 2019",1,"31.763443183325, -106.506078588460"
"May 09, 2019",1,"32.057499000000, -111.666072500000"
"May 08, 2019",2,"36.264122400000, -6.087392200000"
"May 08, 2019",1,"28.330829835978, -100.302247520040"
"May 08, 2019",1,"17.555709223241, -92.338776619039"
"May 07, 2019",1,"29.063830800000, -13.767578800000"
"May 07, 2019",1,"32.057499000000, -111.666072500000"
"May 07, 2019",1,"32.057499000000, -111.666072500000"
"May 06, 2019",1,"27.499010531168, -99.508511442238"
"May 05, 2019",2,"16.416331403204, -92.259368268791"
"May 05, 2019",1,"27.495635827252, -99.489473063115"
"May 05, 2019",4,"1.922841616958, 104.155461901390"
"May 04, 2019",1,"36.076291184400, -5.363376372407"
"May 04, 2019",1,"19.072646808516, -98.176404241764"
"May 03, 2019",12,"39.290756355278, 26.576426980349"
"May 03, 2019",1,"35.551732300000, -5.242166900000"
"May 02, 2019",4,"35.878756157909, -5.923018985249"
"May 02, 2019",1,"35.838369395033, -5.982963672224"
"May 01, 2019",1,"28.722695900000, -100.516604700000"
"May 01, 2019",4,"29.333146234091, -100.939984373880"
"May 01, 2019",1,"45.613822608504, 15.307654498503"
"May 01, 2019",9,"35.865296909887, -5.827087844922"
"May 01, 2019",1,"37.029691799435, 27.407797996018"
"April 30, 2019",1,"28.706848426914, -100.507718230750"
"April 30, 2019",1,"27.749029800000, -97.386347400000"
"April 29, 2019",1,"28.719692199043, -100.507659052390"
"April 29, 2019",1,"35.894568730531, -5.320015124329"
"April 29, 2019",1,"27.480018660430, -99.479560663446"
"April 29, 2019",1,"28.721617905220, -100.509750104540"
"April 28, 2019",1,"16.237138500000, -93.898627900000"
"April 27, 2019",21,"35.021851457349, -2.230722467043"
"April 27, 2019",1,"27.380512013318, -99.492674486557"
"April 27, 2019",1,"20.050684000000, 5.543735000000"
"April 26, 2019",1,"19.585037700000, -98.566607700000"
"April 26, 2019",2,"17.012219000000, 7.981361000000"
"April 25, 2019",1,"32.631914996941, -116.971303001980"
"April 25, 2019",1,"28.711263267830, -100.508120251560"
"April 25, 2019",1,"8.156476000000, 23.136693000000"
"April 24, 2019",23,"10.578663719686, -61.791136728418"
"April 24, 2019",1,"28.680971825682, -100.507273574990"
"April 23, 2019",3,"17.840917300000, -92.618927300000"
"April 23, 2019",1,"28.740755680613, -100.507374644040"
"April 23, 2019",1,"27.422505556571, -99.495945713920"
"April 23, 2019",1,"15.171484816041, -92.532523514258"
"April 23, 2019",1,"8.618269710322, -77.658045513297"
"April 23, 2019",1,"7.738804000000, -5.006729000000"
"April 23, 2019",1,"5.446192000000, -3.995437000000"
"April 22, 2019",1,"31.619525100000, -111.975696400000"
"April 22, 2019",1,"32.464094935713, -113.108028066410"
"April 22, 2019",1,"32.041316121813, -112.977695335160"
"April 22, 2019",1,"32.055811554101, -113.000354636910"
"April 22, 2019",4,"35.856516686828, -5.294925267754"
"April 22, 2019",1,"26.068308625732, -97.154688461478"
"April 22, 2019",1,"5.446192000000, -3.995437000000"
"April 22, 2019",1,"11.115414000000, 0.009824000000"
"April 21, 2019",1,"32.398025736282, -113.293422353520"
"April 21, 2019",1,"32.404747477113, -113.248328906010"
"April 21, 2019",1,"12.432517000000, -1.520122000000"
"April 20, 2019",3,"18.453137000000, 1.418440000000"
"April 19, 2019",1,"27.504285017199, -99.528458650635"
"April 19, 2019",4,"37.995147056170, 44.266898901367"
"April 19, 2019",1,"31.353727052105, -110.888963067180"
"April 19, 2019",2,"9.979551000000, -5.149875000000"
"April 18, 2019",1,"14.641423100000, -90.546206900000"
"April 17, 2019",2,"26.951081889274, -98.367782302940"
"April 17, 2019",1,"29.320788246248, -100.917525823680"
"April 17, 2019",1,"9.924704000000, -3.415450000000"
"April 17, 2019",1,"11.810175000000, 3.066426000000"
"April 14, 2019",1,"37.831638331866, 26.697766507964"
"April 14, 2019",2,"13.862063000000, -2.846229000000"
"April 14, 2019",6,"14.238281000000, -0.863079000000"
"April 14, 2019",2,"5.446192000000, -3.995437000000"
"April 14, 2019",1,"12.432517000000, -1.520122000000"
"April 14, 2019",1,"6.362728000000, 2.300038000000"
"April 14, 2019",1,"6.786888000000, -1.589971000000"
"April 14, 2019",1,"12.432517000000, -1.520122000000"
"April 12, 2019",6,"38.035736716402, 44.290931494141"
"April 12, 2019",1,"31.759988640987, -106.502430750460"
"April 12, 2019",3,"14.238281000000, -0.863079000000"
"April 12, 2019",2,"5.448645000000, -4.026206000000"
"April 12, 2019",1,"14.040163000000, -0.019604000000"
"April 11, 2019",1,"27.476374405786, -99.482152273910"
"April 11, 2019",1,"28.707883038393, -100.511306504710"
"April 10, 2019",1,"33.396503389202, 12.252819237099"
"April 10, 2019",1,"27.216474100000, -98.184402600000"
"April 10, 2019",1,"27.170058000000, -98.177563800000"
"April 10, 2019",1,"32.277903333870, -111.987980970360"
"April 10, 2019",3,"12.699137000000, -8.023181000000"
"April 10, 2019",1,"11.139841000000, 2.929701000000"
"April 09, 2019",11,"14.081062000000, -3.082222000000"
"April 08, 2019",1,"32.679779166203, -115.449979361940"
"April 07, 2019",1,"20.249934738650, -99.662936105483"
"April 07, 2019",1,"39.081226157667, 26.818093010372"
"April 07, 2019",2,"36.305288575963, 28.199649284451"
"April 07, 2019",1,"12.699137000000, -8.023181000000"
"April 07, 2019",3,"11.349313000000, -5.665146000000"
"April 06, 2019",2,"31.813108232759, -106.799261942820"
"April 06, 2019",1,"31.560957644044, -109.166870455020"
"April 06, 2019",1,"36.287447264207, 28.186812824077"
"April 05, 2019",1,"36.239751185237, 36.687511301826"
"April 05, 2019",1,"27.425562771055, -99.480615395167"
"April 05, 2019",1,"27.476619774726, -99.481873324173"
"April 03, 2019",1,"23.260560931726, -102.337369154380"
"April 03, 2019",2,"27.346667452993, 62.389230409872"
"April 02, 2019",1,"35.358181389497, -3.963637678454"
"April 02, 2019",1,"31.757616100000, -112.418688400000"
"April 01, 2019",1,"35.980298764742, -5.773669680016"
"April 01, 2019",50,"33.307272561547, 12.308126102977"
"April 01, 2019",1,"32.089555693789, -112.906494140620"
"March 31, 2019",1,"41.420003176858, 22.222123150364"
"March 31, 2019",1,"44.983703900000, 15.476410700000"
"March 31, 2019",19,"21.544304856421, -72.464247663854"
"March 31, 2019",1,"17.736681000000, 34.037046000000"
"March 31, 2019",1,"23.527344000000, 22.255737000000"
"March 30, 2019",1,"32.331803200000, -112.524509300000"
"March 29, 2019",1,"40.880966337291, 26.221849980838"
"March 28, 2019",2,"38.362368696592, 26.172509473654"
"March 27, 2019",2,"11.127705000000, -4.316257000000"
"March 27, 2019",2,"10.667984000000, -14.558985000000"
"March 27, 2019",1,"-0.339543000000, 42.547825000000"
"March 26, 2019",1,"32.057499000000, -111.666072500000"
"March 26, 2019",4,"39.441975591614, 26.378816195919"
"March 26, 2019",1,"35.871901875921, -5.343037665842"
"March 26, 2019",1,"35.635115912988, -5.275650103548"
"March 25, 2019",1,"19.334475177429, -98.069823987538"
"March 24, 2019",2,"27.403037241929, -99.478838604955"
"March 24, 2019",1,"40.886871122341, 26.249464612210"
"March 24, 2019",1,"40.858181570833, 26.233806481109"
"March 24, 2019",3,"12.432517000000, -1.520122000000"
"March 24, 2019",1,"12.135542000000, 15.133711000000"
"March 23, 2019",1,"32.057499000000, -111.666072500000"
"March 23, 2019",10,"13.865704814542, 99.587248723929"
"March 23, 2019",8,"35.317034468315, 11.078928258810"
"March 23, 2019",41,"32.837325915454, 12.432737422718"
"March 22, 2019",1,"35.324581077512, -2.955065558274"
"March 22, 2019",1,"14.767910000000, -17.263067000000"
"March 22, 2019",1,"11.154918000000, -1.142613000000"
"March 22, 2019",2,"12.479276000000, 1.521893000000"
"March 22, 2019",1,"12.167129000000, -0.343710000000"
"March 21, 2019",1,"32.057499000000, -111.666072500000"
"March 21, 2019",1,"32.057499000000, -111.666072500000"
"March 21, 2019",1,"11.115414000000, 0.009824000000"
"March 21, 2019",1,"6.362728000000, 2.300038000000"
"March 21, 2019",1,"10.621309000000, -4.744354000000"
"March 21, 2019",1,"6.765396000000, 47.412245000000"
"March 20, 2019",1,"24.057148900000, -105.457669800000"
"March 20, 2019",5,"16.230954000000, -0.019296000000"
"March 19, 2019",4,"32.816243467052, 12.530851413107"
"March 19, 2019",1,"35.320534947419, -2.951115676707"
"March 19, 2019",2,"0.439018000000, 9.483392000000"
"March 19, 2019",1,"12.699137000000, -8.023181000000"
"March 19, 2019",1,"12.432517000000, -1.520122000000"
"March 19, 2019",1,"12.432517000000, -1.520122000000"
"March 18, 2019",3,"35.267895220573, -2.799562392362"
"March 17, 2019",1,"25.563914159609, -103.492111622910"
"March 17, 2019",19,"29.425766218075, -10.453333285156"
"March 17, 2019",1,"17.736681000000, 34.037046000000"
"March 17, 2019",3,"17.736681000000, 34.037046000000"
"March 17, 2019",1,"19.618357000000, 27.694968000000"
"March 16, 2019",2,"14.342818000000, -3.603553000000"
